Estratégia de Vacinação contra HPV
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 14 anos de idade 2014 ¹
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 14 anos de idade &sup1; - 2014
UF;REGIONAL;NOM_MUN;09A-POP ¹;09A-DOS ¹;09A-COB ¹;10A-POP;10A-DOS;10A-COB;11A-POP ²;11A-DOS ²;11A-COB ²;12A-POP;12A-DOS;12A-COB;13A-POP;13A-DOS;13A-COB;14A-POP ³;14A-DOS ³;14A-COB ³;TOT-POP;TOT-DOS;TOT-COB
AC;ALTO ACRE;120070 - XAPURI;0;0;0;0;0;0;202;65;   64,36;201;89;   44,28;164;182;  110,98;143;0;    0,00;561;336;   59,89;
AC;ALTO ACRE;120010 - BRASILEIA;0;0;0;0;0;0;262;219;  167,18;264;228;   86,36;217;190;   87,56;188;166;  131,75;738;803;  108,81;
AC;ALTO ACRE;120005 - ASSIS BRASIL;0;0;0;0;0;0;76;2;    5,26;75;10;   13,33;63;6;    9,52;55;2;    5,41;213;20;    9,39;
AC;ALTO ACRE;120025 - EPITACIOLANDIA;0;0;0;0;0;0;181;136;  149,45;186;156;   83,87;155;176;  113,55;136;1;    1,10;523;469;   89,67;
AC;ALTO ACRE;;0;0;0;0;0;0;721;422;  116,90;726;483;   66,53;599;554;   92,49;522;169;   48,42;2035;1628;   80,00;
AC;BAIXO ACRE PURUS;120013 - BUJARI;0;0;0;0;0;0;102;58;  113,73;102;63;   61,76;83;105;  126,51;71;1;    2,13;283;227;   80,21;
AC;BAIXO ACRE PURUS;120032 - JORDAO;0;0;0;0;0;0;107;60;  111,11;103;68;   66,02;81;47;   58,02;69;27;   58,70;284;202;   71,13;
AC;BAIXO ACRE PURUS;120017 - CAPIXABA;0;0;0;0;0;0;133;55;   82,09;134;99;   73,88;107;98;   91,59;89;27;   45,76;367;279;   76,02;
AC;BAIXO ACRE PURUS;120001 - ACRELANDIA;0;0;0;0;0;0;163;106;  129,27;164;159;   96,95;133;174;  130,83;116;96;  124,68;456;535;  117,32;
AC;BAIXO ACRE PURUS;120040 - RIO BRANCO;0;0;0;0;0;0;3666;880;   48,01;3743;1652;   44,14;3124;1550;   49,62;2783;746;   40,19;10556;4828;   45,74;
