Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
AC;ALTO ACRE;120070 - XAPURI;197;152;77,16;199;139;69,85;202;150;74,26;598;441;73,75;
AC;ALTO ACRE;120010 - BRASILEIA;247;232;93,93;254;199;78,35;262;134;51,15;763;565;74,05;
AC;ALTO ACRE;120005 - ASSIS BRASIL;76;70;92,11;75;60;80,00;76;29;38,16;227;159;70,04;
AC;ALTO ACRE;120025 - EPITACIOLANDIA;167;168;100,60;174;138;79,31;181;92;50,83;522;398;76,25;
AC;ALTO ACRE;;687;622;90,54;702;536;76,35;721;405;56,17;2110;1563;74,08;
AC;BAIXO ACRE PURUS;120013 - BUJARI;98;91;92,86;100;104;104,00;102;92;90,20;300;287;95,67;
AC;BAIXO ACRE PURUS;120032 - JORDAO;112;80;71,43;110;61;55,45;107;31;28,97;329;172;52,28;
AC;BAIXO ACRE PURUS;120017 - CAPIXABA;122;140;114,75;127;90;70,87;133;35;26,32;382;265;69,37;
AC;BAIXO ACRE PURUS;120001 - ACRELANDIA;154;114;74,03;158;98;62,03;163;71;43,56;475;283;59,58;
AC;BAIXO ACRE PURUS;120040 - RIO BRANCO;3439;2962;86,13;3546;2780;78,40;3666;1990;54,28;10651;7732;72,59;
AC;BAIXO ACRE PURUS;120080 - PORTO ACRE;184;144;78,26;188;115;61,17;193;76;39,38;565;335;59,29;
AC;BAIXO ACRE PURUS;120034 - MANOEL URBANO;105;132;125,71;106;117;110,38;108;94;87,04;319;343;107,52;
AC;BAIXO ACRE PURUS;120050 - SENA MADUREIRA;460;426;92,61;472;387;81,99;483;282;58,39;1415;1095;77,39;
AC;BAIXO ACRE PURUS;120045 - SENADOR GUIOMARD;233;138;59,23;238;112;47,06;243;102;41,98;714;352;49,30;
AC;BAIXO ACRE PURUS;120038 - PLACIDO DE CASTRO;215;301;140,00;225;252;112,00;236;254;107,63;676;807;119,38;
AC;BAIXO ACRE PURUS;120043 - SANTA ROSA DO PURUS;76;143;188,16;73;56;76,71;71;16;22,54;220;215;97,73;
AC;BAIXO ACRE PURUS;;5198;4671;89,86;5343;4172;78,08;5505;3043;55,28;16046;11886;74,07;
AC;JURUÁ TARAUACA ENVIRA;120030 - FEIJO;454;290;63,88;454;253;55,73;454;217;47,80;1362;760;55,80;
AC;JURUÁ TARAUACA ENVIRA;120060 - TARAUACA;516;517;100,19;511;438;85,71;504;273;54,17;1531;1228;80,21;
AC;JURUÁ TARAUACA ENVIRA;120033 - MANCIO LIMA;205;231;112,68;209;228;109,09;215;110;51,16;629;569;90,46;
AC;JURUÁ TARAUACA ENVIRA;120039 - PORTO WALTER;164;312;190,24;164;250;152,44;165;196;118,79;493;758;153,75;
AC;JURUÁ TARAUACA ENVIRA;120020 - CRUZEIRO DO SUL;984;902;91,67;1012;833;82,31;1043;646;61,94;3039;2381;78,35;
AC;JURUÁ TARAUACA ENVIRA;120042 - RODRIGUES ALVES;230;290;126,09;230;264;114,78;230;202;87,83;690;756;109,57;
AC;JURUÁ TARAUACA ENVIRA;120035 - MARECHAL THAUMATURGO;231;342;148,05;228;299;131,14;225;272;120,89;684;913;133,48;
AC;JURUÁ TARAUACA ENVIRA;;2784;2884;103,59;2808;2565;91,35;2836;1916;67,56;8428;7365;87,39;
AC;;;8669;8177;94,32;8853;7273;82,15;9062;5364;59,19;26584;20814;78,30;
AL;I MICRO REGIAO DE SAUDE;270690 - PILAR;346;422;121,97;359;329;91,64;375;239;63,73;1080;990;91,67;
AL;I MICRO REGIAO DE SAUDE;270430 - MACEIO;8049;8221;102,14;8305;6233;75,05;8599;5664;65,87;24953;20118;80,62;
AL;I MICRO REGIAO DE SAUDE;270890 - SATUBA;143;215;150,35;149;144;96,64;155;136;87,74;447;495;110,74;
AL;I MICRO REGIAO DE SAUDE;270040 - ATALAIA;513;442;86,16;524;398;75,95;536;374;69,78;1573;1214;77,18;
AL;I MICRO REGIAO DE SAUDE;270520 - MESSIAS;196;179;91,33;204;205;100,49;214;78;36,45;614;462;75,24;
AL;I MICRO REGIAO DE SAUDE;270770 - RIO LARGO;667;839;125,79;693;777;112,12;722;780;108,03;2082;2396;115,08;
AL;I MICRO REGIAO DE SAUDE;270644 - PARIPUEIRA;133;51;38,35;137;47;34,31;141;43;30,50;411;141;34,31;
AL;I MICRO REGIAO DE SAUDE;270220 - COQUEIRO SECO;52;90;173,08;54;56;103,70;56;42;75,00;162;188;116,05;
AL;I MICRO REGIAO DE SAUDE;270470 - MARECHAL DEODORO;477;666;139,62;498;811;162,85;523;744;142,26;1498;2221;148,26;
AL;I MICRO REGIAO DE SAUDE;270060 - BARRA DE SAO MIGUEL;83;84;101,20;89;50;56,18;95;39;41,05;267;173;64,79;
AL;I MICRO REGIAO DE SAUDE;270790 - SANTA LUZIA DO NORTE;79;112;141,77;80;117;146,25;82;121;147,56;241;350;145,23;
AL;I MICRO REGIAO DE SAUDE;270050 - BARRA DE SANTO ANTONIO;166;53;31,93;174;15;8,62;183;43;23,50;523;111;21,22;
AL;I MICRO REGIAO DE SAUDE;;10904;11374;104,31;11266;9182;81,50;11681;8303;71,08;33851;28859;85,25;
AL;V MICRO REGIAO DE SAUDE;270920 - TRAIPU;327;174;53,21;342;240;70,18;359;267;74,37;1028;681;66,25;
