Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
AC;ALTO ACRE;120070 - XAPURI;98;126;127,92;199;136;68,34;202;121;59,90;100;55;54,73;600;438;73,00;
AC;ALTO ACRE;120010 - BRASILEIA;123;47;38,06;254;132;51,97;262;158;60,31;132;66;50,00;771;403;52,24;
AC;ALTO ACRE;120005 - ASSIS BRASIL;38;1;2,63;75;29;38,67;76;23;30,26;37;13;34,67;226;66;29,14;
AC;ALTO ACRE;120025 - EPITACIOLANDIA;83;17;20,36;174;33;18,97;181;64;35,36;93;42;45,16;531;156;29,35;
AC;ALTO ACRE;;343;191;55,60;702;330;47,01;721;366;50,76;363;176;48,48;2129;1063;49,92;
AC;BAIXO ACRE PURUS;120013 - BUJARI;49;13;26,53;100;17;17,00;102;32;31,37;51;12;23,53;302;74;24,50;
AC;BAIXO ACRE PURUS;120032 - JORDAO;56;32;57,14;110;42;38,18;107;58;54,21;51;26;50,49;324;158;48,69;
AC;BAIXO ACRE PURUS;120017 - CAPIXABA;61;14;22,95;127;42;33,07;133;73;54,89;67;17;25,37;388;146;37,63;
AC;BAIXO ACRE PURUS;120001 - ACRELANDIA;77;8;10,39;158;24;15,19;163;34;20,86;82;25;30,49;480;91;18,96;
AC;BAIXO ACRE PURUS;120040 - RIO BRANCO;1719;545;31,70;3546;1174;33,11;3666;1372;37,42;1871;470;25,11;10803;3561;32,96;
AC;BAIXO ACRE PURUS;120080 - PORTO ACRE;92;23;25,00;188;58;30,85;193;91;47,15;97;29;29,90;570;201;35,26;
AC;BAIXO ACRE PURUS;120034 - MANOEL URBANO;52;25;47,62;106;61;57,55;108;64;59,26;53;37;69,16;320;187;58,44;
AC;BAIXO ACRE PURUS;120050 - SENA MADUREIRA;230;66;28,70;472;150;31,78;483;218;45,13;244;122;50,00;1429;556;38,91;
AC;BAIXO ACRE PURUS;120045 - SENADOR GUIOMARD;116;16;13,73;238;36;15,13;243;55;22,63;122;62;50,61;720;169;23,47;
AC;BAIXO ACRE PURUS;120038 - PLACIDO DE CASTRO;107;64;59,53;225;89;39,56;236;203;86,02;120;154;128,33;688;510;74,07;
AC;BAIXO ACRE PURUS;120043 - SANTA ROSA DO PURUS;38;34;89,47;73;43;58,90;71;46;64,79;33;21;62,69;215;144;66,82;
AC;BAIXO ACRE PURUS;;2599;840;32,32;5343;1736;32,49;5505;2246;40,80;2793;975;34,90;16240;5797;35,69;
AC;JURUÁ TARAUACA ENVIRA;120030 - FEIJO;227;56;24,67;454;121;26,65;454;142;31,28;224;91;40,63;1359;410;30,17;
AC;JURUÁ TARAUACA ENVIRA;120060 - TARAUACA;258;79;30,62;511;107;20,94;504;229;45,44;247;176;71,11;1520;591;38,87;
AC;JURUÁ TARAUACA ENVIRA;120033 - MANCIO LIMA;102;20;19,51;209;42;20,10;215;61;28,37;108;31;28,70;634;154;24,27;
AC;JURUÁ TARAUACA ENVIRA;120039 - PORTO WALTER;82;29;35,37;164;56;34,15;165;72;43,64;80;63;78,26;491;220;44,76;
AC;JURUÁ TARAUACA ENVIRA;120020 - CRUZEIRO DO SUL;492;122;24,80;1012;403;39,82;1043;506;48,51;528;344;65,15;3075;1375;44,72;
AC;JURUÁ TARAUACA ENVIRA;120042 - RODRIGUES ALVES;115;115;100,00;230;214;93,04;230;219;95,22;112;110;97,78;687;658;95,71;
AC;JURUÁ TARAUACA ENVIRA;120035 - MARECHAL THAUMATURGO;115;270;233,77;228;323;141,67;225;296;131,56;110;118;107,27;678;1007;148,42;
