 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Ano
Imunobiológicos: HPV Quadrivalente - Feminino
Período:1994-2019
"Unidade da Federação";"2009";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";-;52801;45;66170;55550;24321;27408;23065;11208;260568
"12 Acre";-;26621;-;38741;35764;11165;16779;9734;4136;142940
"13 Amazonas";-;129715;540;75641;112460;57718;87824;82459;53876;600233
"14 Roraima";-;17024;-;27665;25118;8790;13295;16312;5371;113575
"15 Pará";-;233524;27;348689;197478;111792;143738;95233;57599;1188080
"16 Amapá";-;24588;-;41091;27763;15149;18946;11688;6243;145468
"17 Tocantins";-;47167;-;64573;50396;23465;30145;18486;11741;245973
"21 Maranhão";-;210940;29;338463;253026;94433;136878;97664;51897;1183330
"22 Piauí";51;95832;-;129082;87371;34825;49067;34820;21128;452176
"23 Ceará";-;241647;3;431904;340581;140330;200441;127599;58143;1540648
"24 Rio Grande do Norte";-;90013;-;120276;79967;36192;48769;35243;16243;426703
"25 Paraíba";-;103742;11;161627;111703;50041;71847;54017;30937;583925
"26 Pernambuco";-;278063;-;372837;356069;131519;187339;137097;78817;1541741
"27 Alagoas";-;97129;112;159519;131206;45476;77815;45619;26586;583462
"28 Sergipe";-;67308;-;93951;69436;27469;39864;23424;15537;336989
"29 Bahia";-;388299;207;523561;351542;145004;224447;141145;86544;1860749
"31 Minas Gerais";18;504514;146;871426;622006;215781;286715;237204;138250;2876060
"32 Espírito Santo";-;104885;814;159650;135901;45656;54923;51407;29707;582943
"33 Rio de Janeiro";-;378948;48428;562511;393255;227728;312867;169177;56668;2149582
"35 São Paulo";-;1137613;21163;1704362;1257322;437785;606710;474032;319711;5958698
"41 Paraná";-;292093;2437;379463;283993;139102;143871;215335;109578;1565872
"42 Santa Catarina";-;171577;1193;264258;206145;68120;88490;70857;55735;926375
"43 Rio Grande do Sul";-;251020;5435;415987;279192;83397;114023;91451;64423;1304928
"50 Mato Grosso do Sul";-;80409;178;115535;80878;34899;46567;35304;20346;414116
"51 Mato Grosso";-;91900;71;117542;91812;52232;59540;42511;23732;479340
"52 Goiás";-;177767;414;244285;210124;70117;115806;70194;44609;933316
"53 Distrito Federal";4;74872;1490;119415;11232;40045;41351;28905;20233;337547
"00 Ignorado/exterior";-;-;-;-;-;-;-;17;4;21
"Total";73;5370011;82743;7948224;5857290;2372551;3245465;2439999;1419002;28735358
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

