 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Ano
Imunobiológicos: HPV Quadrivalente - Masculino
Dose: 1ª dose
Período:1994-2019
"Unidade da Federação";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";-;4;21;166;20343;12672;5323;38529
"12 Acre";-;6;93;7;11919;4628;1695;18348
"13 Amazonas";-;77;722;66;67656;44035;25404;137960
"14 Roraima";-;28;15;26;9156;7220;2465;18910
"15 Pará";-;3111;256;91;97011;47272;27008;174749
"16 Amapá";-;11;23;30;10974;5496;2754;19288
"17 Tocantins";-;305;26;14;29395;9606;6061;45407
"21 Maranhão";-;269;499;565;102700;52071;24466;180570
"22 Piauí";-;138;1205;58;42501;18873;10433;73208
"23 Ceará";-;975;473;207;150764;55588;27283;235290
"24 Rio Grande do Norte";-;453;201;209;35438;16765;7166;60232
"25 Paraíba";-;192;62;23;60190;24914;13787;99168
"26 Pernambuco";-;1009;425;267;118888;57103;34102;211794
"27 Alagoas";-;152;172;134;53787;19181;11225;84651
"28 Sergipe";-;34;121;62;33496;10944;9015;53672
"29 Bahia";-;1549;1286;232;170846;73794;44259;291966
"31 Minas Gerais";-;1774;581;559;299028;142032;74395;518369
"32 Espírito Santo";-;20;265;454;53682;27188;14787;96396
"33 Rio de Janeiro";-;6443;2014;6207;200173;70470;27356;312663
"35 São Paulo";1558;3727;4779;3556;508998;252811;159813;935242
"41 Paraná";-;544;1182;674;133477;138215;49236;323328
"42 Santa Catarina";5;616;275;358;92554;40899;31801;166508
"43 Rio Grande do Sul";-;1256;506;385;129474;45101;34511;211233
"50 Mato Grosso do Sul";-;298;358;128;35011;17543;9783;63121
"51 Mato Grosso";-;243;42;99;45647;22640;14721;83392
"52 Goiás";-;1509;594;499;87105;36462;23043;149212
"53 Distrito Federal";-;2037;183;162;32193;17396;10535;62506
"00 Ignorado/exterior";-;-;-;-;-;6;2;8
"Total";1563;26780;16379;15238;2632406;1270925;702429;4665720
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

