 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Faixa Etária
Imunobiológicos: HPV Quadrivalente - Feminino
Período:1994-2019
"Unidade da Federação";"Menor de 1 ano";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 26 anos";"27 e mais";"Total"
"11 Rondônia";52801;48014;36853;45665;36163;30512;5568;1163;263;196;308;339;2171;552;260568
"12 Acre";26621;26441;21335;27334;19582;17195;3684;320;41;52;26;18;98;193;142940
"13 Amazonas";129715;148858;105561;121590;49016;30364;10395;1715;184;213;272;283;1512;555;600233
"14 Roraima";17024;23026;16559;20255;16519;14886;4105;469;122;96;70;70;199;175;113575
"15 Pará";233524;211948;160921;216368;175866;146672;31127;3059;628;497;599;597;4317;1957;1188080
"16 Amapá";24588;26569;19961;28758;20562;18251;5788;451;31;43;46;44;250;126;145468
"17 Tocantins";47167;56058;34553;43013;31066;25780;5903;575;99;114;203;155;949;338;245973
"21 Maranhão";210940;230723;162571;219124;173945;153129;25696;2074;302;262;205;247;1909;2203;1183330
"22 Piauí";95883;89367;64466;77932;60145;49299;8989;991;222;187;215;230;1764;2486;452176
"23 Ceará";241647;300661;202374;287116;227304;207932;34982;4617;1684;1931;2251;2144;14454;11551;1540648
"24 Rio Grande do Norte";90013;73308;52271;75351;64173;58634;10257;921;173;110;116;138;595;643;426703
"25 Paraíba";103742;116851;83069;110601;82960;69731;14342;898;117;73;81;86;675;699;583925
"26 Pernambuco";278063;289046;206809;277520;225436;207632;35795;3824;1148;1058;1498;1926;9733;2253;1541741
"27 Alagoas";97129;110343;75303;110951;87560;80356;12406;1710;516;467;650;536;3539;1996;583462
"28 Sergipe";67308;66507;45851;59495;46181;42381;7999;617;73;55;54;31;221;216;336989
"29 Bahia";388299;353092;232884;322504;265214;240974;40969;5765;906;720;809;882;4792;2939;1860749
"31 Minas Gerais";504532;657934;386637;501809;380314;324594;77111;8057;1783;1866;3127;3067;18185;7044;2876060
"32 Espírito Santo";104885;121672;81067;104500;75361;67428;13747;2206;617;684;589;563;5197;4427;582943
"33 Rio de Janeiro";378948;330816;252488;387103;322001;304176;73897;20084;5325;5609;7152;7387;46601;7995;2149582
"35 São Paulo";1137613;1176735;794029;1025882;808883;720344;135361;36301;8558;7813;7554;6668;52292;40665;5958698
"41 Paraná";292093;318774;203764;261929;197172;173913;50214;9633;3969;3671;5521;5576;31054;8589;1565872
"42 Santa Catarina";171577;202731;125404;151955;117851;111016;22511;5199;1073;1203;797;1048;7460;6550;926375
"43 Rio Grande do Sul";251020;237194;174442;232943;179893;165744;37162;4045;1482;1334;1694;1665;9436;6874;1304928
"50 Mato Grosso do Sul";80409;76794;54917;72784;57642;50088;10758;1458;740;597;753;833;5094;1249;414116
"51 Mato Grosso";91900;97544;65181;82077;66299;57203;10591;1599;468;487;559;653;3224;1555;479340
"52 Goiás";177767;173112;124507;168445;134425;120650;20369;2954;1472;1181;1169;1063;3534;2668;933316
"53 Distrito Federal";74876;96604;78649;43527;14617;9655;3021;1540;954;897;851;899;4835;6622;337547
"00 Ignorado/exterior";-;13;3;2;-;1;-;-;1;1;-;-;-;-;21
"Total";5370084;5660735;3862429;5076533;3936150;3498540;712747;122245;32951;31417;37169;37148;234090;123120;28735358
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

