 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Unidade da Federação e Faixa Etária
Imunobiológicos: HPV Quadrivalente - Masculino
Dose: 1ª dose
Período:1994-2019
"Unidade da Federação";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 26 anos";"27 e mais";"Total"
"11 Rondônia";441;885;13456;11310;8151;3695;95;78;62;45;42;160;109;38529
"12 Acre";363;602;5945;5628;3943;1727;11;5;3;15;4;21;81;18348
"13 Amazonas";1524;4627;49678;42073;28690;10280;116;136;168;131;96;350;91;137960
"14 Roraima";175;288;5683;5898;4622;1773;178;72;44;28;12;111;26;18910
"15 Pará";2421;4606;57126;55567;38187;15191;153;105;104;83;87;505;614;174749
"16 Amapá";259;575;6545;5701;4138;1957;16;8;4;10;11;31;33;19288
"17 Tocantins";373;558;15623;15100;10143;3431;24;15;12;6;8;46;68;45407
"21 Maranhão";2402;4306;64742;54496;37390;15571;189;55;54;36;57;394;878;180570
"22 Piauí";847;1463;25203;21667;15041;6985;200;79;70;62;44;329;1218;73208
"23 Ceará";3370;5334;78096;67399;48011;19676;1759;1252;1143;998;650;4372;3230;235290
"24 Rio Grande do Norte";900;1253;21084;17426;12548;6737;75;26;8;6;8;50;111;60232
"25 Paraíba";1145;1858;34506;30531;21798;8950;45;20;13;9;12;67;214;99168
"26 Pernambuco";3558;4789;66313;65659;48163;17460;1214;500;529;423;515;2133;538;211794
"27 Alagoas";2226;2432;27238;24387;17990;8231;556;222;151;186;123;719;190;84651
"28 Sergipe";607;2827;18286;15790;10939;5049;44;11;9;7;4;35;64;53672
"29 Bahia";4062;5426;101677;91337;60563;26083;507;193;270;164;177;701;806;291966
"31 Minas Gerais";4446;7960;192975;161770;106030;39615;815;405;396;300;257;1718;1682;518369
"32 Espírito Santo";691;1129;35824;27486;19598;9655;227;156;166;138;109;564;653;96396
"33 Rio de Janeiro";5289;6022;78617;92592;75666;31070;4672;2368;2161;1915;1657;9616;1018;312663
"35 São Paulo";8701;14974;331768;282447;194390;86572;2383;1488;1105;843;802;4757;5012;935242
"41 Paraná";2640;4708;114375;92046;66206;36751;1080;673;517;359;297;1812;1864;323328
"42 Santa Catarina";1272;2611;60796;50653;34048;15224;184;83;81;51;57;373;1075;166508
"43 Rio Grande do Sul";1607;2845;73000;63808;46758;20293;373;164;178;145;127;583;1352;211233
"50 Mato Grosso do Sul";683;1352;20618;19618;13231;5297;409;206;185;197;239;879;207;63121
"51 Mato Grosso";1396;5035;24819;26436;17377;6740;268;141;95;95;123;540;327;83392
"52 Goiás";1326;2156;53327;43582;31251;15088;411;350;229;211;224;596;461;149212
"53 Distrito Federal";1176;1195;23235;18748;12019;5303;73;45;62;38;32;285;295;62506
"00 Ignorado/exterior";-;-;7;-;1;-;-;-;-;-;-;-;-;8
"Total";53900;91816;1600562;1409155;986892;424404;16077;8856;7819;6501;5774;31747;22217;4665720
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

