"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"104,23";"78,65";"64,47";"64,43";"91,55";"89,67";"91,86";"96,90";"62,33";"91,71";"73,32";"89,75";"90,24";"81,60";"102,79";"82,36";"70,75";"90,99";"38,93";"80,53";"86,23";"25,12";"51,01";"46,15";"77,56";"78,44";"80,76"
"12 Acre";"104,21";"62,85";"51,92";"53,79";"74,97";"66,07";"67,49";"87,99";"42,37";"76,05";"52,15";"61,19";"63,95";"61,94";"88,14";"54,31";"48,36";"71,14";"29,77";"60,26";"69,04";"11,12";"30,14";"25,44";"69,33";"73,78";"69,83"
"13 Amazonas";"107,67";"78,31";"52,22";"59,19";"72,98";"73,94";"74,37";"83,68";"57,62";"79,79";"64,03";"77,08";"79,35";"71,26";"87,09";"68,90";"59,46";"74,28";"35,81";"68,41";"72,68";"19,29";"46,01";"44,56";"65,70";"69,99";"70,96"
"14 Roraima";"112,94";"84,87";"58,41";"64,37";"80,58";"75,85";"80,09";"89,71";"65,13";"82,22";"65,68";"73,03";"79,94";"77,15";"88,94";"73,34";"66,07";"84,19";"38,54";"74,34";"89,77";"26,70";"43,50";"42,73";"68,77";"77,16";"76,72"
"15 Pará";"109,26";"62,94";"49,17";"49,31";"70,79";"61,56";"63,79";"87,55";"31,54";"74,40";"51,50";"64,51";"66,71";"58,18";"93,93";"53,82";"45,72";"81,47";"24,24";"57,80";"80,50";"22,59";"32,16";"26,25";"71,96";"82,34";"74,27"
"16 Amapá";"112,59";"72,42";"53,73";"61,11";"78,15";"63,02";"67,19";"86,19";"27,98";"77,03";"57,61";"65,03";"67,78";"51,12";"89,87";"63,92";"55,61";"84,96";"28,81";"59,38";"82,14";"29,29";"42,93";"32,53";"69,41";"75,22";"72,45"
"17 Tocantins";"105,86";"79,37";"62,27";"58,97";"90,32";"82,89";"87,76";"98,00";"65,27";"87,55";"69,40";"84,75";"86,33";"77,96";"90,21";"75,08";"62,63";"89,12";"39,46";"76,14";"88,22";"25,00";"33,17";"39,06";"74,48";"79,24";"79,03"
"21 Maranhão";"111,95";"70,39";"52,98";"50,64";"67,26";"69,38";"69,88";"84,31";"36,53";"78,72";"56,34";"70,04";"72,24";"66,36";"100,46";"57,94";"34,38";"77,57";"25,48";"65,56";"78,69";"14,44";"40,58";"35,00";"72,37";"79,04";"74,07"
"22 Piauí";"101,81";"70,01";"56,79";"55,80";"67,63";"71,11";"75,92";"88,02";"52,53";"63,05";"62,25";"78,04";"79,98";"68,56";"98,49";"64,44";"29,84";"83,86";"33,20";"70,46";"76,87";"24,43";"35,63";"32,43";"68,87";"77,51";"73,72"
"23 Ceará";"109,27";"74,42";"64,79";"64,08";"77,23";"87,93";"90,19";"102,67";"63,30";"2,85";"75,33";"92,53";"95,03";"87,86";"112,27";"85,07";"48,84";"93,03";"38,57";"83,84";"98,09";"24,79";"63,50";"49,81";"74,60";"77,77";"76,97"
