"Ano";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"1995";"110,55";"0";"0";"0";"0";"0";"0";"97,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"99,83";"0";"0";"97,71";"0";"0";"0";"0";"0";"45,01"
"1996";"111,18";"0";"0";"0";"0";"0";"0";"101,36";"0";"0";"0";"0";"0";"0";"0";"0";"0";"96,03";"0";"0";"95,20";"0";"0";"0";"0";"0";"44,86"
"1997";"132,00";"0";"0";"0";"0";"0";"0";"106,69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"98,02";"0";"0";"134,43";"0";"0";"0";"0";"100,58";"74,70"
"1998";"131,59";"0";"0";"0";"2,79";"0";"0";"114,70";"0";"5,25";"0";"0";"0";"0";"0";"0";"0";"119,79";"0";"0";"124,72";"1,03";"0";"0";"0";"108,85";"79,73"
"1999";"128,76";"0";"0";"0";"112,32";"0";"0";"112,18";"0";"11,98";"0";"0";"0";"0";"0";"0";"0";"110,42";"0";"0";"115,24";"1,37";"0";"0";"0";"100,88";"92,11"
"2000";"110,70";"0";"0";"0";"97,24";"0";"0";"102,35";"0";"8,55";"0";"0";"0";"0";"105,38";"0";"0";"100,35";"0";"0";"108,05";"115,43";"0";"0";"0";"77,03";"76,19"
"2001";"111,03";"0";"0";"0";"96,00";"0";"0";"103,34";"0";"7,36";"0";"0";"0";"0";"105,13";"0";"0";"101,77";"0";"0";"107,04";"101,43";"0";"0";"0";"78,15";"76,51"
"2002";"108,99";"0";"0";"0";"93,82";"0";"0";"95,89";"0";"8,70";"0";"0";"0";"0";"105,13";"0";"0";"33,08";"0";"0";"100,37";"33,01";"0";"0";"64,74";"78,25";"73,30"
"2003";"108,87";"0";"0";"0";"98,29";"0";"0";"98,31";"0";"10,08";"0";"0";"0";"0";"119,88";"0";"0";"0,73";"0";"0";"3,35";"2,58";"0";"0";"98,77";"80,60";"71,29"
"2004";"109,14";"0";"0";"0";"95,86";"0";"0";"98,19";"0";"10,17";"0";"0";"0";"0";"104,30";"0";"0";"99,67";"0";"0";"0";"0";"0";"0";"99,21";"74,30";"76,36"
