 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";42,76;50,80;76,05;83,33;93,26;82,31;79,59;83,70;78,18;72,30;81,87;80,75;84,44;86,21;82,39;83,87;79,26;92,75;85,82;76,72;98,18;111,27;63,77;80,74;82,45;51,44;79,88
"12 Acre";20,53;46,61;36,59;67,56;66,38;85,61;66,79;76,77;81,66;77,54;80,21;72,09;70,66;80,54;75,04;79,18;76,32;84,74;74,35;58,87;59,29;75,54;46,91;62,18;67,44;45,44;69,26
"13 Amazonas";20,15;35,82;49,88;72,01;70,62;72,19;70,91;70,68;70,98;64,77;72,14;73,67;74,81;78,84;76,40;78,63;73,30;80,09;79,18;67,06;77,14;94,95;48,27;65,33;69,82;49,97;69,65
"14 Roraima";64,06;88,84;89,18;80,26;97,45;93,76;83,94;72,67;78,33;72,99;80,28;78,26;74,22;76,90;71,13;80,21;75,19;84,42;73,13;60,70;82,30;105,27;57,41;74,26;78,76;48,04;75,68
"15 Pará";32,44;40,11;51,26;67,09;67,46;82,95;77,23;83,43;82,66;80,50;97,38;89,17;86,99;87,87;84,70;84,02;81,55;84,11;77,87;67,91;71,71;67,51;41,43;57,60;57,44;37,53;73,89
"16 Amapá";...;34,68;44,75;52,06;73,77;83,48;70,61;101,50;75,61;76,13;84,83;81,02;76,09;76,76;74,15;84,31;75,31;77,88;73,77;67,66;76,11;88,75;56,62;58,66;63,32;44,02;72,88
"17 Tocantins";...;...;65,44;56,24;86,73;87,82;80,63;87,42;80,88;75,39;79,60;78,77;78,68;81,81;79,42;81,54;75,12;87,78;76,34;72,78;85,09;92,37;60,94;81,70;82,32;57,59;78,47
"21 Maranhão";27,43;35,69;41,05;60,33;68,09;81,10;74,81;79,09;76,93;75,58;82,82;83,49;82,76;87,34;83,64;84,62;87,04;87,15;77,67;73,54;83,27;94,40;43,38;60,87;64,51;40,05;73,91
"22 Piauí";62,22;48,16;46,40;57,65;64,59;81,53;78,74;81,18;79,67;74,41;83,46;76,60;78,18;80,34;76,69;78,11;75,44;86,04;77,57;71,99;76,06;80,68;46,94;67,25;70,80;44,88;73,15
"23 Ceará";49,20;50,06;60,28;74,00;64,09;88,63;78,82;83,18;78,97;73,21;81,36;78,84;76,59;78,58;74,75;76,10;74,40;83,44;74,76;73,09;96,57;107,71;56,44;73,67;77,37;47,53;75,75
"24 Rio Grande do Norte";41,34;49,23;56,57;61,55;58,99;78,80;70,21;73,12;73,20;71,76;78,42;72,55;73,24;74,52;70,54;72,82;71,04;81,30;74,96;66,86;82,44;89,17;42,23;53,69;67,54;38,10;68,77
"25 Paraíba";...;22,82;45,23;63,28;61,39;81,68;72,88;80,28;76,52;71,43;79,32;76,29;76,74;79,46;74,71;76,88;77,15;82,82;70,88;71,43;83,53;86,34;50,10;66,15;69,43;43,87;72,02
"26 Pernambuco";33,46;78,01;72,86;82,44;81,41;87,47;76,93;76,73;77,76;77,22;80,43;78,07;76,81;80,36;75,91;78,11;74,95;88,72;78,44;71,80;86,44;101,09;51,43;65,20;70,43;44,91;75,12
"27 Alagoas";...;28,35;46,58;50,95;54,52;78,30;72,36;74,45;76,03;71,21;89,49;76,60;74,40;72,64;69,00;75,31;74,08;73,81;70,45;67,30;84,08;92,74;44,88;65,01;70,79;44,26;70,26
"28 Sergipe";...;67,66;67,28;73,92;71,66;98,68;77,96;79,01;78,28;76,06;78,75;73,63;73,28;77,60;75,27;76,07;76,12;83,94;74,33;74,76;86,11;91,00;47,05;63,49;68,76;46,21;74,36
"29 Bahia";42,98;28,19;38,02;59,22;64,03;82,45;74,08;81,56;76,22;72,90;92,19;81,47;80,36;78,42;74,57;76,77;75,41;84,73;77,33;72,29;83,78;93,06;44,35;63,11;63,50;38,68;72,39
"31 Minas Gerais";...;...;...;62,60;62,43;90,14;79,70;90,28;75,07;69,40;77,73;77,68;76,92;77,30;74,74;78,01;80,85;87,40;82,73;80,04;90,21;100,33;57,58;80,42;85,42;53,43;78,03
"32 Espírito Santo";55,22;74,91;75,62;77,78;89,21;94,67;79,36;80,75;78,05;77,65;80,76;78,62;77,39;76,58;75,19;75,93;74,74;88,35;79,71;72,30;90,98;98,39;51,19;66,35;74,22;48,72;76,09
"33 Rio de Janeiro";...;43,29;36,26;69,12;73,78;91,77;75,16;75,02;74,66;71,50;75,23;75,26;71,88;71,89;69,15;71,36;67,48;83,91;73,71;68,11;84,08;96,14;47,98;67,04;61,37;25,99;69,70
"35 São Paulo";...;45,01;44,86;74,70;79,73;92,11;76,19;76,51;73,30;71,29;74,03;72,44;71,60;70,92;69,70;72,49;70,36;84,96;77,28;73,37;88,20;98,63;45,94;67,29;71,52;46,18;71,68
"41 Paraná";...;35,30;51,84;76,53;63,40;75,09;78,72;81,01;77,26;73,48;80,60;73,68;74,62;76,87;73,64;76,66;75,22;89,97;79,48;77,59;86,95;96,41;55,32;77,66;81,79;58,11;75,08
"42 Santa Catarina";51,60;55,47;48,53;73,29;71,64;82,85;75,49;78,11;74,59;73,68;73,76;74,02;73,07;73,51;72,19;74,86;74,18;88,07;78,79;72,94;91,81;100,69;58,88;75,82;82,43;60,59;74,53
"43 Rio Grande do Sul";...;65,25;58,90;65,07;63,25;85,90;71,91;75,60;74,07;71,71;72,30;70,25;69,27;68,75;67,61;69,20;67,22;81,99;72,95;73,47;84,15;87,69;53,86;72,54;74,94;51,65;70,96
"50 Mato Grosso do Sul";...;...;39,02;70,62;75,01;92,05;85,08;88,66;80,84;77,14;75,55;75,05;76,70;78,40;74,89;78,53;75,77;89,37;83,46;81,81;110,11;113,07;63,55;78,81;83,52;52,21;79,69
"51 Mato Grosso";31,76;37,67;37,44;74,22;78,08;84,87;84,34;85,97;81,93;77,24;82,44;81,55;79,43;82,68;78,12;79,38;73,54;87,40;81,37;75,04;92,61;100,32;58,32;74,28;76,70;46,38;76,12
"52 Goiás";22,37;69,81;66,93;70,07;73,23;87,36;82,76;83,87;82,66;79,45;92,38;81,91;81,78;84,69;80,21;80,41;76,25;96,24;82,52;79,36;86,63;93,55;53,60;73,25;71,85;47,04;77,66
"53 Distrito Federal";...;0,34;55,99;64,17;84,43;86,24;73,49;71,77;69,15;70,10;84,50;77,52;80,50;84,21;80,92;90,75;80,07;67,70;64,84;85,83;89,33;71,55;75,28;73,82;73,85;49,58;74,74
"Total";38,27;45,70;50,00;68,95;70,65;86,57;76,50;79,85;76,09;72,97;80,00;76,73;75,83;76,66;73,90;76,22;74,38;85,31;77,32;73,29;86,31;95,07;50,44;69,04;71,99;45,65;73,49
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
