 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:1994-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";105,11;77,44;61,92;60,80;91,29;87,89;89,21;96,58;0,03;92,06;69,82;86,41;88,72;80,30;102,28;83,98;73,95;90,75;3,84;79,65;86,23;25,12;53,88;39,87;83,29
"12 Acre";105,54;60,09;49,50;50,59;74,94;64,19;64,09;88,50;1,87;76,83;47,95;58,36;61,40;61,16;89,16;54,17;48,82;70,37;4,94;60,67;69,04;11,12;28,64;20,42;67,15
"13 Amazonas";107,99;74,39;49,73;55,81;72,97;73,35;71,17;83,79;0,18;80,30;61,01;74,57;77,86;71,68;86,94;69,89;62,40;73,76;4,17;67,25;72,68;19,29;47,39;40,24;72,01
"14 Roraima";113,28;79,26;56,47;61,78;81,64;77,28;78,81;90,74;0,40;83,87;66,25;78,17;81,25;80,99;90,17;75,17;70,88;83,04;5,31;77,28;89,77;26,70;44,48;41,19;78,16
"15 Pará";110,41;60,20;46,96;45,99;71,09;60,53;60,49;88,23;0,03;75,05;47,04;61,69;64,88;57,58;94,87;51,81;45,06;78,37;3,29;57,81;80,50;22,59;29,93;20,42;68,07
"16 Amapá";114,84;73,20;52,98;60,55;80,76;66,74;67,15;88,13;10,81;78,79;57,51;65,53;68,95;52,12;91,26;66,67;60,47;81,12;4,82;62,23;82,14;29,29;44,45;31,16;73,10
"17 Tocantins";105,64;73,44;59,49;54,69;90,36;80,97;85,21;97,95;0,07;87,75;64,37;81,00;83,67;76,42;89,86;74,57;62,97;87,78;2,46;74,19;88,22;25,00;33,73;31,95;79,23
"21 Maranhão";113,24;68,56;51,27;47,92;67,82;71,01;67,77;84,77;1,17;79,41;53,78;69,72;72,30;68,03;101,85;57,88;39,62;76,33;4,33;67,67;78,69;14,44;41,04;31,94;70,80
"22 Piauí";102,40;66,79;54,52;52,20;67,84;70,55;73,16;88,01;0,29;62,39;57,55;75,72;78,23;66,88;98,93;63,70;32,63;82,51;2,84;68,06;76,86;24,43;34,65;26,38;70,29
"23 Ceará";110,81;74,72;62,18;60,29;77,12;87,97;87,94;102,88;0,60;2,34;71,61;94,31;95,14;88,94;113,07;85,99;57,05;92,50;2,62;83,81;98,09;24,79;64,58;46,78;76,02
"24 Rio Grande do Norte";103,03;65,29;52,56;53,29;68,49;69,92;74,98;85,90;0,60;0,81;54,19;75,05;76,64;69,89;94,30;63,00;41,38;81,29;4,72;68,47;79,94;18,50;42,59;30,08;64,55
"25 Paraíba";107,00;69,53;57,73;51,39;75,29;78,00;81,05;92,41;0,47;0,43;59,96;76,69;76,67;74,89;105,28;65,20;39,01;84,87;3,11;69,60;77,32;23,83;39,03;30,01;68,03
"26 Pernambuco";113,25;70,34;60,37;53,75;76,21;81,35;85,53;103,95;0,54;2,04;64,29;83,67;86,92;79,25;99,33;72,02;46,93;87,70;4,07;76,90;94,92;21,44;55,66;42,56;72,18
"27 Alagoas";104,94;71,19;51,26;48,84;73,23;77,29;76,26;85,34;1,18;0,47;65,36;81,51;80,06;77,92;93,51;68,51;45,54;76,14;4,74;74,43;69,27;20,08;51,17;37,61;64,74
"28 Sergipe";105,00;82,58;61,23;56,59;77,89;77,12;83,50;96,36;0,11;0,78;62,73;83,67;85,11;77,56;105,59;72,55;42,60;88,85;2,78;77,71;90,73;26,36;41,62;28,14;71,15
"29 Bahia";101,74;61,34;50,68;55,34;69,59;68,17;71,12;86,84;0,10;65,43;57,83;72,84;77,15;69,47;103,98;65,76;41,28;80,10;3,64;70,64;77,27;22,72;36,06;27,96;70,43
"31 Minas Gerais";99,21;68,11;61,82;71,20;86,70;82,76;90,02;94,87;0,12;74,59;69,60;87,25;90,03;83,61;106,24;79,82;43,54;87,56;2,57;80,78;81,78;33,54;33,12;32,54;80,00
"32 Espírito Santo";102,42;70,21;63,97;59,44;95,90;80,30;88,46;101,12;0,35;17,08;68,40;86,20;86,69;79,20;105,91;78,76;46,91;90,78;2,96;71,11;91,54;25,27;51,18;46,17;76,04
"33 Rio de Janeiro";109,54;65,90;57,28;62,57;75,63;78,48;75,51;98,38;0,16;4,53;63,51;76,83;78,03;70,18;103,32;70,80;46,66;86,70;4,48;65,78;86,78;30,18;40,09;38,41;69,51
"35 São Paulo";105,87;71,69;62,77;72,57;80,97;78,84;85,33;96,95;0,65;15,52;64,42;82,52;84,28;79,84;104,99;80,31;56,33;89,96;2,08;73,74;98,54;29,24;38,70;32,58;74,61
"41 Paraná";102,36;61,29;61,70;64,10;89,93;81,54;86,97;95,33;0,14;37,61;69,09;86,95;88,83;77,89;102,98;82,21;69,88;89,88;3,09;71,16;91,36;28,86;34,14;35,60;77,13
"42 Santa Catarina";101,36;70,39;66,16;69,56;90,03;83,04;90,87;95,31;0,25;15,80;71,14;87,30;90,70;81,37;103,52;81,46;71,83;88,98;2,37;74,96;89,04;27,06;39,69;36,24;76,72
"43 Rio Grande do Sul";99,84;62,96;56,87;59,18;75,56;79,21;81,51;91,46;0,62;21,11;65,42;79,67;82,15;75,56;94,72;76,96;64,68;85,35;3,78;69,84;84,64;22,88;33,09;28,67;70,25
"50 Mato Grosso do Sul";108,57;82,56;68,16;69,14;84,91;91,44;93,78;99,66;0,47;90,35;72,61;94,56;95,98;91,55;107,70;79,97;71,36;91,80;3,53;88,90;85,49;26,89;51,55;39,81;84,68
"51 Mato Grosso";104,36;75,55;60,39;60,63;73,58;80,73;80,86;96,64;0,75;80,83;65,76;79,73;84,55;77,47;102,18;75,76;67,21;86,28;3,45;75,70;85,87;22,81;45,79;34,55;78,13
