 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Imuno
Período:1994-2019
"Unidade da Federação";"072 BCG";"099 Hepatite B  em crianças até 30 dias";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"100 Poliomielite 4 anos";"006 Febre Amarela";"096 Hepatite A";"091 Pneumocócica(1º ref)";"092 Meningococo C (1º ref)";"093 Poliomielite(1º ref)";"021 Tríplice Viral  D1";"098 Tríplice Viral  D2";"097 Tetra Viral(SRC+VZ)";"075 DTP";"102 DTP REF (4 e 6 anos)";"103 Dupla Adulto (dt)";"095 Tríplice Bacteriana(DTP)(1º ref)";"018 Sarampo";"009 Haemophilus influenzae b";"094 Dupla adulto e tríplice acelular gestante";"003 dTpa gestante";"Total"
"11 Rondônia";800058;147439;325125;241025;694872;190233;239618;735112;4;700726;132914;164507;168904;152878;563428;159888;140788;690768;9576;176383;151634;288655;73011;102081;75538;7125165
"12 Acre";435530;70747;154135;115200;309240;86383;107866;365231;14;317075;56447;68708;72281;71997;294782;63773;57472;290407;8007;67564;71422;98882;14394;33533;23914;3255004
"13 Amazonas";2103147;407834;723347;578236;1421148;457595;551646;1631892;196;1563922;334497;408814;426862;392990;1331033;383178;342081;1436612;32075;455475;368702;529118;125201;258975;219924;16484500
"14 Roraima";278512;60492;107360;81724;200713;66426;82928;223108;51;206204;50567;59665;62017;61815;181843;57372;54101;204177;5248;63330;58981;73860;19972;33663;31173;2325302
"15 Pará";4256283;590903;1309459;916541;2740502;680391;852483;3401216;27;2893140;461714;605448;636830;564733;2760650;508531;442269;3021306;50829;549869;567459;1258013;314660;293425;200201;29876882
"16 Amapá";406602;79819;148831;109399;285922;82319;102024;312019;12;278944;62715;71454;75180;56829;269991;72703;65943;287196;6990;67047;67853;94869;33825;48521;34014;3121021
"17 Tocantins";653889;126474;289301;205442;559312;159612;210402;606306;5;543161;110851;139484;144094;131604;458832;128418;108434;543359;5270;164194;127767;192613;54591;57727;54674;5775816
"21 Maranhão";3827065;554566;1219804;838250;2291895;662103;799392;2864769;619;2683731;434956;563884;584566;550194;2524010;468170;320460;2579733;55838;443826;547368;1130150;181438;330875;257531;26715193
"22 Piauí";1466020;224344;545384;375652;971273;272979;357799;1260046;13;893137;193302;254247;262641;224178;1037708;213959;109610;1181099;12901;198886;228601;475629;135102;115839;88203;11098552
"23 Ceará";4153471;666083;1637473;1185086;2890613;899751;1130612;3856134;859;86962;638395;840729;848111;792813;3090558;766597;508586;3467006;31904;514095;747091;1619457;364667;574549;416257;31727859
"24 Rio Grande do Norte";1375131;215162;495984;354848;914328;264603;357066;1146747;100;10406;178593;247333;252580;230326;937258;207607;136376;1085176;21405;183464;225658;448177;92946;139992;98862;9620128
"25 Paraíba";1700986;278784;672606;448661;1197161;359550;470914;1469406;138;6186;240419;307482;307411;300289;1280503;261433;156427;1349597;16938;199244;279071;495567;152740;155928;119913;12227354
"26 Pernambuco";4432551;687700;1671314;1182358;2982854;910737;1200058;4068763;542;78407;628502;817996;849789;774754;2908051;704151;458815;3432822;56253;523027;751801;1550553;308032;541290;413841;31934961
"27 Alagoas";1561560;257255;560314;422391;1089750;322198;402470;1269880;884;6958;236208;294550;289304;281583;1064582;247576;164571;1133052;26201;187291;268980;423849;122846;183780;135068;10953101
"28 Sergipe";955305;196597;417266;273460;708671;210655;286682;876670;27;6925;149349;199195;202620;184659;759637;172715;101429;808349;8839;152235;185013;316355;91932;98394;66528;7429507
"29 Bahia";6244833;882368;2178291;1701829;4271271;1129073;1487471;5329901;128;4016078;831921;1047582;1109780;998796;4670691;945957;593866;4915893;79656;968477;1016137;2088917;548626;516931;400721;47975194
"31 Minas Gerais";6390997;1243671;3243338;2540865;5585648;1720004;2325189;6111549;270;4802944;1270862;1590247;1640869;1526674;5810033;1457483;794960;5640788;62838;2225351;1475046;1853184;760131;602278;591659;61266878
"32 Espírito Santo";1448443;268332;653825;466064;1356175;348248;474673;1430019;252;240555;261436;329447;331336;302698;1140614;301010;179280;1283729;14238;324231;271788;518243;128365;194361;175334;12442696
"33 Rio de Janeiro";6212052;1038855;2457758;1832017;4289103;1407194;1680873;5579241;483;256603;1001200;1211067;1230035;1106365;4689944;1116026;735483;4916742;91423;599239;1036887;1843224;640964;630330;603891;46206999
"35 São Paulo";16347773;3083504;7324045;5193464;12502679;3862932;5201799;14971607;6423;2394527;2770592;3548696;3624848;3433590;12976639;3454269;2422968;13891883;107976;3632831;3171762;5626162;1669266;1660126;1397584;134277945
"41 Paraná";4170763;671177;1851409;1343443;3664157;1014564;1341561;3884415;218;1532358;756614;952178;972767;852933;3249257;900312;765266;3662340;41696;1213288;779238;1471332;464818;372949;388878;36317931
"42 Santa Catarina";2390956;454053;1110619;811611;2124056;604934;813616;2248463;310;369622;458853;562966;584926;524747;1826427;525418;463308;2099102;17929;774760;483496;853366;230687;254836;232679;20821740
"43 Rio Grande do Sul";3758466;621774;1562096;1155134;2844462;888104;1131775;3442975;1506;793191;646034;786507;811044;745944;2748424;760059;638771;3212758;47566;920387;689735;1296946;350596;326670;283029;30463953
"50 Mato Grosso do Sul";1081826;249262;534765;393102;846065;312881;396405;993062;182;900244;219216;285471;289741;276388;889914;241432;215437;914701;13402;211785;268416;283062;89028;154439;119254;10179480
"51 Mato Grosso";1429210;286422;590743;440212;1007700;345203;424145;1323530;272;1106972;249302;302259;320557;293695;1049921;287220;254803;1181585;16282;304854;287005;469001;108892;171863;129697;12381345
"52 Goiás";2573954;417473;1076269;794804;1834108;601124;774554;2251287;172;1976419;437548;535726;557691;510576;1927164;497722;420598;2091109;40847;525300;457737;813429;237591;217321;237796;21808319
"53 Distrito Federal";1228857;286847;531120;390308;980125;290911;371108;1048662;142;302049;220877;266096;277735;251188;909621;277282;242004;958430;18509;347246;245414;22713;165834;179708;126753;9939539
"Total";81684240;14067937;33391981;24391126;60563803;18150707;23575129;72702010;13849;28967446;13033884;16461738;16934519;15595236;61351515;15180261;10894106;66279719;900636;15993679;14830062;26135326;7480155;8250384;6922916;653752364
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

